page_number,printed_page_label,section,title_guess,content_type,text_extraction_method,embedded_line_count,table_candidate,table_family,column_pattern,entities,periods,amount_line_count,numeric_token_count,repeated_header,continuation_candidate,continuation_group,confidence,review_reasons
128,125,Capital Budget,Queen Street Parkade Upgrades,table_or_profile,embedded_text,11,True,capital_project_profile,profile field | narrative value,[],[],0,3,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
129,126,Capital Budget,Parks and Recreation Small Fleet,table_or_profile,embedded_text,12,True,capital_project_profile,profile field | narrative value,[],"[""2025/26""]",0,10,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
130,127,Capital Budget,Public Works Small Fleet Replacement,table_or_profile,embedded_text,10,True,capital_project_profile,profile field | narrative value,[],"[""2025/26""]",0,9,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
131,128,Capital Budget,Public Works Large Fleet Replacement,table_or_profile,embedded_text,12,True,capital_project_profile,profile field | narrative value,[],"[""2025-26""]",0,8,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
132,129,Capital Budget,Construction of New Sidewalks,table_or_profile,embedded_text,14,True,capital_project_profile,profile field | narrative value,[],"[""2024"", ""2025"", ""2025/26""]",0,14,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
133,130,Capital Budget,Street Resurfacing,table_or_profile,embedded_text,12,True,capital_project_profile,profile field | narrative value,[],[],0,4,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
134,131,Capital Budget,Exhibition Drive Reconstruction,table_or_profile,embedded_text,12,True,capital_project_profile,profile field | narrative value,[],[],0,2,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
135,132,Capital Budget,New Traffic Lights,table_or_profile,embedded_text,11,True,capital_project_profile,profile field | narrative value,[],"[""2025/26""]",0,4,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
136,133,Capital Budget,2025/2026 Capital Budget,table_or_profile,embedded_text,26,True,capital_budget_schedule,item | budget (2025/2026),"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/2026""]",21,26,False,False,,medium,[]
137,134,Capital Budget,Wellfield Protection,table_or_profile,embedded_text,12,True,capital_project_profile,profile field | narrative value,"[""Charlottetown Water and Sewer""]",[],0,2,False,False,continuation-027,medium,[]
138,135,Capital Budget,Water Distribution System Upgrades,table_or_profile,embedded_text,9,True,capital_project_profile,profile field | narrative value,"[""Charlottetown Water and Sewer""]",[],0,2,False,True,continuation-027,medium,"[""adjacent same-family page; continuation requires visual review""]"
139,136,Capital Budget,Collector Sewer Liftstations,table_or_profile,embedded_text,13,True,capital_project_profile,profile field | narrative value,"[""Charlottetown Water and Sewer""]",[],0,2,False,True,continuation-027,medium,"[""adjacent same-family page; continuation requires visual review""]"
140,137,Capital Budget,Aeration Tank Rehabilitation,table_or_profile,embedded_text,12,True,capital_project_profile,profile field | narrative value,"[""Charlottetown Water and Sewer""]",[],0,2,False,True,continuation-027,medium,"[""adjacent same-family page; continuation requires visual review""]"
141,,Capital Budget,Charlottetown Civic Centre,text_or_divider,embedded_text,7,False,,,"[""Bell Aliant Centre"", ""Eastlink Centre""]","[""2025/2026""]",0,2,False,False,,medium,[]
142,139,Capital Budget,2025/2026 Capital Budget,table_or_profile,embedded_text,16,True,capital_budget_schedule,item | budget (2025/2026),"[""Eastlink Centre"", ""City of Charlottetown""]","[""2025/2026""]",8,12,False,False,continuation-028,medium,[]
143,140,Capital Budget,2025/2026 Capital Budget,table_or_profile,embedded_text,15,True,capital_budget_schedule,item | budget (2025/2026),"[""Bell Aliant Centre"", ""City of Charlottetown""]","[""2025/2026""]",10,18,False,True,continuation-028,medium,"[""adjacent same-family page; continuation requires visual review""]"
144,,Appendix - Taxes and Rates,=~,text_or_divider,ocr_fallback,2,False,,,[],[],0,1,False,False,,medium,[]
145,142,Appendix - Taxes and Rates,2025/2026 Operating Budget,table_or_profile,embedded_text,57,True,tax_assessment_rate,class | assessment | rate | revenue,"[""City of Charlottetown""]","[""2025/2026""]",34,195,False,False,,medium,[]
146,,Appendix - Debt,———,text_or_divider,ocr_fallback,3,False,,,[],[],0,1,False,False,,medium,[]
147,144,Appendix - Debt,2025/2026 Operating Budget,table_or_profile,embedded_text,24,True,debt_schedule,instrument | balance | principal | interest,"[""City of Charlottetown""]","[""2010"", ""2012"", ""2013"", ""2016"", ""2018"", ""2020"", ""2023"", ""2025"", ""2025/2026"", ""2025/26"", ""2030"", ""2031"", ""2032"", ""2033"", ""2036"", ""2038"", ""2039"", ""2041"", ""2047"", ""2054""]",15,70,True,False,,high,[]
148,,Appendix - Debt,=~,text_or_divider,ocr_fallback,4,False,,,"[""Charlottetown Water and Sewer""]",[],0,1,False,False,,medium,[]
149,146,Appendix - Debt,2025/2026 Operating Budget,table_or_profile,embedded_text,20,True,debt_schedule,instrument | balance | principal | interest,"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2010"", ""2012"", ""2013"", ""2018"", ""2020"", ""2023"", ""2025"", ""2025/2026"", ""2025/26"", ""2030"", ""2031"", ""2032"", ""2033"", ""2038"", ""2047"", ""2054""]",11,66,True,False,,high,[]
150,,Appendix - Debt,902-629-4004,text_or_divider,embedded_text,4,False,,,[],[],0,4,False,False,,medium,[]
