osm_type,osm_id,building,name,levels,source_tags,geom_wkt
"way","1368602346","house","","","{""building"":""house""}","POLYGON((-63.1874656 46.2452201,-63.1873929 46.2450717,-63.1871874 46.2451198,-63.1872217 46.2451899,-63.1872538 46.2451824,-63.1872921 46.2452608,-63.1874656 46.2452201))"
"way","1368602347","house","","","{""building"":""house""}","POLYGON((-63.1873911 46.2450255,-63.1873538 46.2449476,-63.1873203 46.2449553,-63.1872690 46.2448480,-63.1871105 46.2448842,-63.1871620 46.2449919,-63.1871332 46.2449985,-63.1871702 46.2450760,-63.1873911 46.2450255))"
"way","1368602352","house","","","{""building"":""house""}","POLYGON((-63.1867682 46.2454129,-63.1867347 46.2453395,-63.1866772 46.2453521,-63.1866296 46.2452477,-63.1864819 46.2452799,-63.1865147 46.2453520,-63.1865310 46.2453484,-63.1865792 46.2454541,-63.1867682 46.2454129))"
"way","1368602353","house","","","{""building"":""house""}","POLYGON((-63.1866365 46.2452167,-63.1865882 46.2451080,-63.1866075 46.2451039,-63.1865764 46.2450339,-63.1863825 46.2450752,-63.1864229 46.2451660,-63.1864611 46.2451579,-63.1865001 46.2452456,-63.1866365 46.2452167))"
"way","1368602354","house","","","{""building"":""house""}","POLYGON((-63.1864328 46.2448712,-63.1863985 46.2447800,-63.1864262 46.2447750,-63.1864002 46.2447060,-63.1862041 46.2447413,-63.1862644 46.2449014,-63.1864328 46.2448712))"
"way","1368602355","house","","","{""building"":""house""}","POLYGON((-63.1863807 46.2446473,-63.1863408 46.2445689,-63.1863159 46.2445749,-63.1862870 46.2445182,-63.1862561 46.2445257,-63.1862507 46.2445151,-63.1861531 46.2445389,-63.1862124 46.2446553,-63.1862637 46.2446428,-63.1862787 46.2446722,-63.1863807 46.2446473))"
"way","1368602356","house","","","{""building"":""house""}","POLYGON((-63.1862449 46.2444751,-63.1861899 46.2443703,-63.1862116 46.2443649,-63.1861752 46.2442955,-63.1859942 46.2443409,-63.1860385 46.2444254,-63.1860667 46.2444184,-63.1861137 46.2445080,-63.1862449 46.2444751))"
"way","1368602357","house","","","{""building"":""house""}","POLYGON((-63.1861741 46.2442629,-63.1861336 46.2441858,-63.1860642 46.2442032,-63.1860364 46.2441503,-63.1858742 46.2441911,-63.1859425 46.2443211,-63.1861741 46.2442629))"
"way","1368602358","house","","","{""building"":""house""}","POLYGON((-63.1869986 46.2443121,-63.1869532 46.2442121,-63.1869198 46.2442194,-63.1868854 46.2441436,-63.1867310 46.2441772,-63.1867715 46.2442663,-63.1867496 46.2442710,-63.1867889 46.2443576,-63.1869986 46.2443121))"
"way","1368602370","house","","","{""building"":""house""}","POLYGON((-63.1859658 46.2449883,-63.1859137 46.2448835,-63.1858129 46.2449075,-63.1858015 46.2448846,-63.1856691 46.2449161,-63.1856901 46.2449583,-63.1857226 46.2449505,-63.1857652 46.2450360,-63.1859658 46.2449883))"
"way","1368602371","house","","","{""building"":""house""}","POLYGON((-63.1857802 46.2448064,-63.1856846 46.2446228,-63.1855501 46.2446563,-63.1856045 46.2447608,-63.1855564 46.2447728,-63.1855976 46.2448518,-63.1857802 46.2448064))"
"way","1368602372","house","","","{""building"":""house""}","POLYGON((-63.1856714 46.2446103,-63.1855839 46.2444396,-63.1854371 46.2444756,-63.1854866 46.2445721,-63.1854554 46.2445798,-63.1854934 46.2446539,-63.1856714 46.2446103))"
"way","1368602384","house","","","{""building"":""house""}","POLYGON((-63.1850611 46.2450551,-63.1849847 46.2449206,-63.1849653 46.2449259,-63.1849436 46.2448876,-63.1848394 46.2449159,-63.1848769 46.2449820,-63.1848427 46.2449913,-63.1848749 46.2450480,-63.1849003 46.2450410,-63.1849288 46.2450911,-63.1850611 46.2450551))"
"way","1368602385","house","","","{""building"":""house""}","POLYGON((-63.1849456 46.2448199,-63.1848487 46.2446528,-63.1846936 46.2446958,-63.1847441 46.2447828,-63.1846872 46.2447986,-63.1847337 46.2448787,-63.1849456 46.2448199))"
"way","1368602386","house","","","{""building"":""house""}","POLYGON((-63.1839977 46.2448451,-63.1839891 46.2447080,-63.1838973 46.2447107,-63.1838987 46.2447335,-63.1838101 46.2447361,-63.1838172 46.2448504,-63.1839977 46.2448451))"
"way","1368602387","house","","","{""building"":""house""}","POLYGON((-63.1836398 46.2448096,-63.1836540 46.2447081,-63.1834983 46.2446977,-63.1834968 46.2447084,-63.1834022 46.2447021,-63.1833847 46.2448271,-63.1835554 46.2448385,-63.1835602 46.2448043,-63.1836398 46.2448096))"
