page_number,printed_page_label,section,title_guess,content_type,text_extraction_method,embedded_line_count,table_candidate,table_family,column_pattern,entities,periods,amount_line_count,numeric_token_count,repeated_header,continuation_candidate,continuation_group,confidence,review_reasons
103,103,Operating Budget,Payroll Expenses,table_or_profile,embedded_text,44,True,operating_statement,item | amount (unlabeled period),[],[],36,38,False,True,continuation-017,medium,"[""adjacent same-family page; continuation requires visual review""]"
104,104,Operating Budget,Training,table_or_profile,embedded_text,14,True,operating_statement,item | amount (unlabeled period),[],[],8,12,False,True,continuation-017,medium,"[""adjacent same-family page; continuation requires visual review""]"
105,105,Operating Budget,Bell Aliant Centre,table_or_profile,embedded_text,45,True,facility_operating_statement,"item | budget (2025-2026, 2026-2027, 2026-27)","[""Bell Aliant Centre"", ""City of Charlottetown""]","[""2025-2026"", ""2026-2027"", ""2026-27""]",33,72,False,False,continuation-018,medium,[]
106,106,Operating Budget,Bell Aliant Centre,table_or_profile,embedded_text,22,True,facility_operating_statement,"item | budget | variance (2025-26, 2026-27)","[""Bell Aliant Centre""]","[""2025-26"", ""2026-27""]",15,51,False,True,continuation-018,medium,"[""adjacent same-family page; continuation requires visual review""]"
107,107,Operating Budget,Bell Aliant Centre,table_or_profile,embedded_text,27,True,facility_operating_statement,"item | budget | variance (2025-26, 2026-27)","[""Bell Aliant Centre""]","[""2025-26"", ""2026-27""]",20,66,False,True,continuation-018,medium,"[""adjacent same-family page; continuation requires visual review""]"
108,108,Operating Budget,Bell Aliant Centre,table_or_profile,embedded_text,24,True,facility_operating_statement,"item | budget | variance (2025-26, 2026-2027, 2026-27)","[""Bell Aliant Centre""]","[""2025-26"", ""2026-2027"", ""2026-27""]",17,58,True,True,continuation-018,high,"[""adjacent same-family page; continuation requires visual review""]"
109,,Capital Budget,2026/2027 Capital Budget,text_or_divider,embedded_text,5,False,,,"[""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2026/2027""]",0,2,False,False,,medium,[]
110,110,Capital Budget,CITY OF CHARLOTTETOWN AND CHARLOTTETOWN WATER & SEWER,table_or_profile,embedded_text,32,True,capital_budget_schedule,"item | budget (2025/26, 2026/2027, 2026/27)","[""Bell Aliant Centre"", ""Eastlink Centre"", ""Charlottetown Water and Sewer"", ""City of Charlottetown""]","[""2025/26"", ""2026/2027"", ""2026/27""]",24,54,False,False,continuation-019,medium,[]
111,111,Capital Budget,2026/2027 Capital Budget,table_or_profile,embedded_text,25,True,capital_budget_schedule,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",19,22,False,True,continuation-019,medium,"[""adjacent same-family page; continuation requires visual review""]"
112,112,Capital Budget,Downtown Tree Planters,table_or_profile,embedded_text,13,True,capital_project_profile,profile field | narrative value,[],[],0,1,False,False,continuation-020,medium,[]
113,113,Capital Budget,Victoria Park EV Charger,table_or_profile,embedded_text,11,True,capital_project_profile,profile field | narrative value,[],[],0,2,False,True,continuation-020,medium,"[""adjacent same-family page; continuation requires visual review""]"
114,114,Capital Budget,Active Transportation (AT),table_or_profile,embedded_text,17,True,capital_project_profile,profile field | narrative value,[],[],0,7,False,True,continuation-020,medium,"[""adjacent same-family page; continuation requires visual review""]"
115,115,Capital Budget,Public Transit Buses,table_or_profile,embedded_text,11,True,capital_project_profile,profile field | narrative value,[],"[""2026"", ""2026-2027"", ""2027""]",0,5,False,True,continuation-020,medium,"[""adjacent same-family page; continuation requires visual review""]"
116,116,Capital Budget,Transit Infrastructure,table_or_profile,embedded_text,13,True,capital_project_profile,profile field | narrative value,[],[],0,1,False,True,continuation-020,medium,"[""adjacent same-family page; continuation requires visual review""]"
117,117,Capital Budget,2026/2027 Capital Budget,table_or_profile,embedded_text,14,True,capital_budget_schedule,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",10,13,False,False,,medium,[]
118,118,Capital Budget,New Fire Station,table_or_profile,embedded_text,9,True,capital_project_profile,profile field | narrative value,[],[],0,1,False,False,continuation-021,medium,[]
119,119,Capital Budget,Fire Engine Replacement,table_or_profile,embedded_text,13,True,capital_project_profile,profile field | narrative value,[],[],0,4,False,True,continuation-021,medium,"[""adjacent same-family page; continuation requires visual review""]"
120,120,Capital Budget,2026/2027 Capital Budget,table_or_profile,embedded_text,15,True,capital_budget_schedule,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",11,14,False,False,,medium,[]
121,121,Capital Budget,New City Website,table_or_profile,embedded_text,15,True,capital_project_profile,profile field | narrative value,[],"[""2026/27""]",1,4,False,False,,medium,[]
122,122,Capital Budget,2026/2027 Capital Budget,table_or_profile,embedded_text,31,True,capital_budget_schedule,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",22,25,False,False,continuation-022,medium,[]
123,123,Capital Budget,2026/2027 Capital Budget,table_or_profile,embedded_text,14,True,capital_budget_schedule,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",9,12,False,True,continuation-022,medium,"[""adjacent same-family page; continuation requires visual review""]"
124,124,Capital Budget,Multi-Use Outdoor Facility,table_or_profile,embedded_text,17,True,capital_project_profile,profile field | narrative value,[],[],0,1,False,False,continuation-023,medium,[]
125,125,Capital Budget,Simmons Artificial Turf Field,table_or_profile,embedded_text,12,True,capital_project_profile,profile field | narrative value,[],"[""2026""]",1,4,False,True,continuation-023,medium,"[""adjacent same-family page; continuation requires visual review""]"
126,126,Capital Budget,East Royalty Landfill Old Road and,table_or_profile,embedded_text,15,True,capital_project_profile,profile field | narrative value,[],[],0,1,False,True,continuation-023,medium,"[""adjacent same-family page; continuation requires visual review""]"
127,127,Capital Budget,2026/2027 Capital Budget,table_or_profile,embedded_text,10,True,capital_budget_schedule,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",6,9,False,False,,medium,[]
128,128,Capital Budget,Vehicle Equipment,table_or_profile,embedded_text,11,True,capital_project_profile,profile field | narrative value,[],[],0,1,False,False,,medium,[]
129,129,Capital Budget,Specialized Equipment,table_or_profile,embedded_text,13,True,capital_project_profile,profile field | narrative value,[],[],0,1,True,False,continuation-024,high,[]
130,130,Capital Budget,Communication Equipment,table_or_profile,embedded_text,10,True,capital_project_profile,profile field | narrative value,[],[],0,1,False,True,continuation-024,medium,"[""adjacent same-family page; continuation requires visual review""]"
131,131,Capital Budget,Investigative Tools and Technology,table_or_profile,embedded_text,21,True,capital_project_profile,profile field | narrative value,[],[],0,1,False,True,continuation-024,medium,"[""adjacent same-family page; continuation requires visual review""]"
132,132,Capital Budget,Community Safety,table_or_profile,embedded_text,12,True,capital_project_profile,profile field | narrative value,[],[],0,1,False,True,continuation-024,medium,"[""adjacent same-family page; continuation requires visual review""]"
133,133,Capital Budget,2026/2027 Capital Budget,table_or_profile,embedded_text,39,True,capital_budget_schedule,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",32,38,False,False,continuation-025,medium,[]
134,134,Capital Budget,2026/2027 Capital Budget,table_or_profile,embedded_text,39,True,capital_budget_schedule,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",29,35,False,True,continuation-025,medium,"[""adjacent same-family page; continuation requires visual review""]"
135,135,Capital Budget,2026/2027 Capital Budget,table_or_profile,embedded_text,13,True,capital_budget_schedule,item | budget (2026/2027),"[""City of Charlottetown""]","[""2026/2027""]",8,11,False,True,continuation-025,medium,"[""adjacent same-family page; continuation requires visual review""]"
136,136,Capital Budget,Euston St. Redevelopment,table_or_profile,embedded_text,19,True,capital_project_profile,profile field | narrative value,[],"[""2008"", ""2030"", ""2040""]",0,9,False,False,continuation-026,medium,[]
137,137,Capital Budget,Exhibition Drive Reconstruction,table_or_profile,embedded_text,15,True,capital_project_profile,profile field | narrative value,[],[],0,2,False,True,continuation-026,medium,"[""adjacent same-family page; continuation requires visual review""]"
